Wall time,Step,Value
1647129698.7810287,1071999,-362.79998779296875
1647129844.039593,1078999,-436.6000061035156
1647129968.634358,1084999,-356.79998779296875
1647129989.276526,1085999,-345.3999938964844
1647130009.949565,1086999,-337.6000061035156
1647130030.823839,1087999,-382.0
1647130051.747955,1088999,-340.0
1647130134.691299,1092999,-358.6000061035156
1647130155.477472,1093999,-407.20001220703125
1647130196.973003,1095999,-378.3999938964844
1647130238.337236,1097999,-320.20001220703125
1647130341.9212,1102999,-323.79998779296875
1647130404.000021,1105999,-320.79998779296875
1647130507.2975569,1110999,-385.0
1647130528.031053,1111999,-408.3999938964844
1647130611.00965,1115999,-347.79998779296875
1647130631.757481,1116999,-435.3999938964844
1647130652.540727,1117999,-428.20001220703125
1647130818.193673,1125999,-347.79998779296875
1647130839.0775287,1126999,-334.6000061035156
1647130880.603519,1128999,-331.6000061035156
1647130984.567391,1133999,-360.3999938964844
1647131129.272165,1140999,-461.20001220703125
1647131253.593581,1146999,-400.6000061035156
1647131274.371913,1147999,-302.79998779296875
1647131315.961873,1149999,-314.79998779296875
1647131336.665136,1150999,-397.6000061035156
1647131440.461782,1155999,-479.20001220703125
1647131461.357967,1156999,-368.20001220703125
1647131482.01527,1157999,-339.3999938964844
1647131523.483939,1159999,-290.79998779296875
1647131564.830931,1161999,-325.0
1647131585.476995,1162999,-328.6000061035156
1647131606.137689,1163999,-337.0
1647131626.911488,1164999,-317.79998779296875
1647131668.188597,1166999,-346.0
1647131689.107702,1167999,-280.6000061035156
1647131751.36569,1170999,-366.3999938964844
1647131772.121487,1171999,-395.79998779296875
1647131875.913728,1176999,-368.20001220703125
1647131896.726605,1177999,-391.0
1647131917.423012,1178999,-317.20001220703125
1647131938.223171,1179999,-341.20001220703125
1647132000.584596,1182999,-382.6000061035156
1647132042.15292,1184999,-312.3999938964844
1647132062.924753,1185999,-392.20001220703125
1647132104.358868,1187999,-358.0
1647132125.083004,1188999,-350.79998779296875
1647132145.785794,1189999,-306.3999938964844
1647132166.739637,1190999,-370.6000061035156
1647132270.378866,1195999,-343.6000061035156
1647132436.719288,1203999,-409.6000061035156
1647132457.359343,1204999,-349.0
1647132519.805755,1207999,-347.79998779296875
1647132540.533371,1208999,-323.79998779296875
1647132582.195908,1210999,-320.20001220703125
1647132602.937082,1211999,-325.0
1647132623.56904,1212999,-371.79998779296875
1647132664.970732,1214999,-304.0
1647132727.006585,1217999,-380.20001220703125
1647132768.417249,1219999,-318.3999938964844
1647132809.634813,1221999,-368.20001220703125
1647132851.299494,1223999,-346.0
1647132892.617996,1225999,-400.6000061035156
1647132934.066241,1227999,-272.79998779296875
1647132975.580494,1229999,-447.3999938964844
1647132996.323622,1230999,-323.79998779296875
1647133100.088868,1235999,-370.6000061035156
1647133141.41619,1237999,-343.6000061035156
1647133203.602188,1240999,-354.3999938964844
1647133224.317346,1241999,-249.39999389648438
1647133286.531353,1244999,-432.3999938964844
1647133307.363411,1245999,-304.0
1647133328.13349,1246999,-312.3999938964844
1647133411.163153,1250999,-331.6000061035156
1647133431.861694,1251999,-358.0
1647133452.715466,1252999,-395.79998779296875
1647133494.07077,1254999,-318.3999938964844
1647133514.915674,1255999,-362.79998779296875
1647133577.075262,1258999,-417.3999938964844
1647133680.759878,1263999,-386.79998779296875
1647133701.4838383,1264999,-358.0
1647133722.174655,1265999,-366.3999938964844
1647133867.393703,1272999,-337.6000061035156
1647133929.70168,1275999,-421.6000061035156
1647133970.827462,1277999,-283.0
1647133991.461338,1278999,-302.20001220703125
1647134177.893439,1287999,-363.3999938964844
1647134240.023441,1290999,-486.3999938964844
1647134302.1594439,1293999,-382.6000061035156
1647134323.168423,1294999,-409.0
1647134447.441468,1300999,-355.6000061035156
1647134530.264009,1304999,-370.0
1647134550.9119732,1305999,-466.0
1647134571.611134,1306999,-463.0
1647134592.343237,1307999,-373.0
1647134612.964525,1308999,-476.79998779296875
1647134716.611326,1313999,-298.6000061035156
1647134758.129672,1315999,-304.0
1647134778.914581,1316999,-337.0
1647134820.262556,1318999,-311.79998779296875
1647134841.058903,1319999,-357.3999938964844
1647134944.836055,1324999,-335.20001220703125
1647134965.653087,1325999,-333.3999938964844
1647135110.932023,1332999,-430.6000061035156
1647135131.542424,1333999,-397.0
1647135152.274345,1334999,-334.6000061035156
1647135172.891512,1335999,-472.6000061035156
